Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3002_1x2032,1,Battery_Cell,
"C1, C5",0603,2,100nF,
C2,0805,1,10uF,
"D1, D13, D5, D9",LED_D5.0mm,4,LED R,
"D10, D14, D2, D6",LED_D5.0mm,4,LED G,
"D11, D15, D3, D7",LED_D5.0mm,4,LED B,
"D12, D16, D4, D8",LED_D5.0mm,4,LED Y,
H1,MountingHole_2.5mm_Pad_Via,1,MountingHole,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J3, J4, J5, J6, J7, J8, J9",TestPoint_Pad_D2.5mm,18,TestPoint,
J20,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,+3V3,
J21,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,GND,
J22,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,NRST,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0603,16,1K,
R17,0603,1,10K,
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Push,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V003F4P6,
