Designator,Mid X,Mid Y,Rotation,Layer
BT1,162.306,-118.872,270.0,top
C1,141.732,-112.268,270.0,top
C2,143.51,-112.268,90.0,top
C5,135.89,-119.126,90.0,top
D1,142.494,-83.312,0.0,top
D10,142.748,-90.678,180.0,bottom
D11,170.18,-132.08,0.0,bottom
D12,132.588,-131.064,180.0,bottom
D13,170.688,-85.344,180.0,bottom
D14,189.23,-105.918,0.0,bottom
D15,161.798,-59.182,180.0,bottom
D16,203.2,-60.96,0.0,bottom
D2,159.263,-84.582,180.0,top
D3,125.984,-126.238,0.0,top
D4,177.038,-130.556,180.0,top
D5,188.219,-111.252,180.0,top
D6,171.958,-91.694,0.0,top
D7,201.422,-67.564,180.0,top
D8,165.603,-63.5,0.0,top
D9,159.771,-89.916,0.0,bottom
J1,132.08,-114.808,180.0,top
R1,138.938,-119.126,90.0,top
R10,143.51,-105.41,90.0,top
R11,141.986,-105.41,90.0,top
R12,140.462,-105.41,90.0,top
R13,138.938,-105.41,90.0,top
R14,137.414,-105.41,90.0,top
R15,135.89,-105.41,90.0,top
R16,134.366,-105.41,90.0,top
R17,137.414,-119.126,90.0,top
R2,140.462,-119.126,90.0,top
R3,141.986,-119.126,90.0,top
R4,132.842,-105.41,270.0,top
R5,131.318,-105.41,270.0,top
R6,131.318,-119.126,90.0,top
R7,132.842,-119.126,90.0,top
R8,134.366,-119.126,90.0,top
R9,143.51,-119.126,270.0,top
SW1,141.986,-128.778,270.0,top
U1,137.414,-112.268,90.0,top
